CUB_200_2011, CrossEntropyLossFlat0
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         6.317868    4.619299    0.072974  00:52                                                                                                       
1         4.128814    2.437152    0.406873  00:52                                                                                                       
2         2.472719    1.532413    0.590581  00:52                                                                                                       
3         1.832966    1.279299    0.643615  00:53                                                                                                       
4         1.580234    1.185802    0.661434  00:52                                                                                                       
5         1.439749    1.164732    0.681375  00:53                                                                                                       
6         1.274671    1.128695    0.676283  00:53                                                                                                       
7         1.142146    1.072801    0.698345  00:52                                                                                                       
8         1.063351    1.058859    0.703012  00:53                                                                                                       
9         0.954851    1.042889    0.712346  00:52                                                                                                        
10        0.890071    1.035250    0.710225  00:52                                                                                                        
11        0.808800    0.999022    0.725074  00:52                                                                                                        
12        0.740692    0.975185    0.732711  00:52                                                                                                        
13        0.698777    0.944536    0.735257  00:52                                                                                                        
14        0.645571    0.930626    0.747136  00:52                                                                                                        
15        0.584500    0.914715    0.745439  00:52                                                                                                        
16        0.546029    0.910612    0.747985  00:52                                                                                                        
17        0.528464    0.909130    0.751803  00:53                                                                                                        
18        0.496220    0.910614    0.747136  00:52                                                                                                        
19        0.506206    0.908944    0.750530  00:52                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.493235    0.907645    0.751803  00:52                                                                                                       
1         0.505050    0.903842    0.752227  00:53                                                                                                       
2         0.506641    0.917914    0.744591  00:52                                                                                                       
3         0.525585    0.916645    0.745863  00:52                                                                                                       
4         0.558200    0.938142    0.743742  00:52                                                                                                       
5         0.573242    0.955156    0.736529  00:52                                                                                                       
6         0.562702    0.945071    0.745439  00:53                                                                                                       
7         0.612794    0.949881    0.743742  00:52                                                                                                       
8         0.565643    0.965954    0.739924  00:52                                                                                                       
9         0.581891    0.977757    0.731014  00:52                                                                                                        
10        0.554258    0.977970    0.739075  00:53                                                                                                        
11        0.542368    0.970740    0.735257  00:53                                                                                                        
12        0.516561    0.963715    0.741196  00:53                                                                                                        
13        0.515192    0.977231    0.737378  00:52                                                                                                        
14        0.493621    0.955414    0.741621  00:53                                                                                                        
15        0.470049    0.966934    0.750530  00:52                                                                                                        
16        0.450894    0.958246    0.742894  00:52                                                                                                        
17        0.439784    0.960304    0.742894  00:52                                                                                                        
18        0.407502    0.962597    0.751379  00:53                                                                                                        
19        0.418721    0.954080    0.750106  00:52                                                                                                        
20        0.400186    0.944336    0.747136  00:52                                                                                                        
21        0.366098    0.949466    0.751379  00:53                                                                                                        
22        0.377340    0.945436    0.753076  00:53                                                                                                        
23        0.353734    0.935463    0.756470  00:52                                                                                                        
24        0.370885    0.943670    0.750106  00:52                                                                                                        
25        0.334760    0.941406    0.753924  00:53                                                                                                        
26        0.339577    0.928362    0.751379  00:52                                                                                                        
27        0.337947    0.932440    0.754349  00:52                                                                                                        
28        0.336571    0.931167    0.754773  00:53                                                                                                        
29        0.354919    0.934900    0.752652  00:52                                                                                                        
--------------------------
CUB_200_2011, CrossEntropyLossFlat1
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         6.273705    4.620186    0.075095  00:53                                                                                                       
1         4.103995    2.429753    0.425117  00:52                                                                                                       
2         2.493175    1.587318    0.571913  00:52                                                                                                       
3         1.879782    1.299156    0.641493  00:52                                                                                                       
4         1.576278    1.244230    0.648282  00:52                                                                                                       
5         1.408403    1.143129    0.679678  00:52                                                                                                       
6         1.269461    1.120281    0.685193  00:53                                                                                                       
7         1.131890    1.132552    0.693254  00:52                                                                                                       
8         1.069593    1.075784    0.706831  00:52                                                                                                       
9         0.970328    1.035299    0.708528  00:52                                                                                                        
10        0.874261    0.999457    0.724650  00:52                                                                                                        
11        0.813581    0.998589    0.728468  00:53                                                                                                        
12        0.743365    0.970093    0.730590  00:53                                                                                                        
13        0.684093    0.953925    0.734408  00:52                                                                                                        
14        0.655759    0.921746    0.750530  00:53                                                                                                        
15        0.583662    0.928289    0.753500  00:53                                                                                                        
16        0.559626    0.921549    0.754349  00:52                                                                                                        
17        0.531336    0.916598    0.760288  00:52                                                                                                        
18        0.515499    0.919212    0.758591  00:53                                                                                                        
19        0.531506    0.915723    0.760713  00:52                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.532648    0.914963    0.760713  00:52                                                                                                       
1         0.529306    0.913591    0.758167  00:53                                                                                                       
2         0.501501    0.917988    0.756894  00:52                                                                                                       
3         0.542644    0.935576    0.747136  00:52                                                                                                       
4         0.546023    0.939672    0.755622  00:52                                                                                                       
5         0.554768    0.962277    0.752652  00:52                                                                                                       
6         0.583451    0.967410    0.742894  00:53                                                                                                       
7         0.587989    0.973696    0.742894  00:52                                                                                                       
8         0.575535    0.981706    0.736529  00:52                                                                                                       
9         0.576663    0.973864    0.740348  00:52                                                                                                        
10        0.575502    0.958961    0.739075  00:53                                                                                                        
11        0.554452    0.954184    0.747560  00:52                                                                                                        
12        0.539151    0.976589    0.743742  00:53                                                                                                        
13        0.521392    0.978920    0.745439  00:53                                                                                                        
14        0.512025    0.960409    0.744591  00:52                                                                                                        
15        0.471397    0.964419    0.748409  00:52                                                                                                        
16        0.448863    0.970279    0.744166  00:53                                                                                                        
17        0.448812    0.957310    0.744591  00:53                                                                                                        
18        0.429467    0.946570    0.750106  00:52                                                                                                        
19        0.408022    0.952673    0.758167  00:53                                                                                                        
20        0.388043    0.940695    0.761561  00:52                                                                                                        
21        0.366119    0.944515    0.759016  00:52                                                                                                        
22        0.381309    0.930517    0.762834  00:52                                                                                                        
23        0.363654    0.935692    0.754773  00:52                                                                                                        
24        0.346194    0.939524    0.757743  00:53                                                                                                        
25        0.340077    0.935535    0.759864  00:52                                                                                                        
26        0.332650    0.933020    0.761986  00:52                                                                                                        
27        0.329348    0.936898    0.757319  00:52                                                                                                        
28        0.323735    0.935029    0.764107  00:52                                                                                                        
29        0.331154    0.930982    0.763683  00:52                                                                                                        
--------------------------
CUB_200_2011, CrossEntropyLossFlat2
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         6.276514    4.615823    0.073823  00:53                                                                                                       
1         4.183938    2.442463    0.405176  00:53                                                                                                       
2         2.545418    1.565070    0.581247  00:53                                                                                                       
3         1.892708    1.321949    0.624947  00:52                                                                                                       
4         1.599823    1.219316    0.652949  00:53                                                                                                       
5         1.415614    1.117439    0.688587  00:53                                                                                                       
6         1.266834    1.120529    0.676708  00:53                                                                                                       
7         1.097012    1.085036    0.700467  00:52                                                                                                       
8         1.041311    1.073064    0.700891  00:52                                                                                                       
9         0.950686    1.030821    0.711922  00:52                                                                                                        
10        0.889928    1.002923    0.723801  00:52                                                                                                        
11        0.811991    0.988160    0.720832  00:53                                                                                                        
12        0.742388    0.950755    0.738227  00:53                                                                                                        
13        0.685151    0.932303    0.732711  00:52                                                                                                        
14        0.645466    0.927602    0.741621  00:52                                                                                                        
15        0.588307    0.904342    0.746712  00:52                                                                                                        
16        0.549374    0.905309    0.746288  00:52                                                                                                        
17        0.511073    0.901513    0.750106  00:52                                                                                                        
18        0.511567    0.899013    0.749682  00:53                                                                                                        
19        0.501495    0.898661    0.748833  00:52                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.513280    0.898584    0.751379  00:52                                                                                                       
1         0.506951    0.901165    0.750955  00:53                                                                                                       
2         0.532469    0.895378    0.755622  00:53                                                                                                       
3         0.512155    0.908495    0.752652  00:52                                                                                                       
4         0.547100    0.944413    0.747136  00:52                                                                                                       
5         0.574774    0.964779    0.726347  00:52                                                                                                       
6         0.551632    0.977279    0.729741  00:53                                                                                                       
7         0.575066    0.973414    0.733135  00:53                                                                                                       
8         0.568521    0.964946    0.728044  00:52                                                                                                       
9         0.574617    0.972193    0.733984  00:53                                                                                                        
10        0.557928    0.977483    0.735681  00:52                                                                                                        
11        0.545845    0.981622    0.733984  00:52                                                                                                        
12        0.522267    0.974452    0.739924  00:52                                                                                                        
13        0.506768    0.964166    0.745439  00:52                                                                                                        
14        0.493773    0.971571    0.739499  00:52                                                                                                        
15        0.461598    0.968252    0.742045  00:52                                                                                                        
16        0.473570    0.962901    0.744166  00:53                                                                                                        
17        0.420758    0.965860    0.747560  00:52                                                                                                        
18        0.433096    0.964096    0.745015  00:52                                                                                                        
19        0.418366    0.965308    0.745015  00:52                                                                                                        
20        0.386423    0.963193    0.748409  00:52                                                                                                        
21        0.387726    0.942948    0.749682  00:52                                                                                                        
22        0.382796    0.950744    0.751379  00:52                                                                                                        
23        0.347151    0.954113    0.745863  00:52                                                                                                        
24        0.349738    0.939456    0.753500  00:53                                                                                                        
25        0.341924    0.939737    0.752652  00:56                                                                                                        
26        0.349799    0.939518    0.752227  00:57                                                                                                        
27        0.333497    0.940347    0.752652  00:58                                                                                                        
28        0.329404    0.937355    0.752227  00:57    
