CUB_200_2011, arcface0
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         5.587062    5.310904    0.025032  00:54                                                                                                       
1         5.123130    4.790962    0.171829  00:53                                                                                                       
2         4.793411    4.666238    0.243106  00:53                                                                                                       
3         4.609859    4.378674    0.216377  00:53                                                                                                       
4         4.221434    3.983771    0.299958  00:53                                                                                                       
5         4.039132    3.863241    0.378871  00:53                                                                                                       
6         3.970735    3.831316    0.424268  00:53                                                                                                       
7         3.916471    3.809503    0.452694  00:53                                                                                                       
8         3.880655    3.769949    0.480696  00:53                                                                                                       
9         3.858462    3.782073    0.479847  00:53                                                                                                        
10        3.848527    3.754801    0.529911  00:53                                                                                                        
11        3.820844    3.736516    0.539245  00:53                                                                                                        
12        3.811649    3.721613    0.551124  00:53                                                                                                        
13        3.785904    3.715055    0.578702  00:53                                                                                                        
14        3.777299    3.697464    0.585066  00:53                                                                                                        
15        3.759544    3.691571    0.602885  00:53                                                                                                        
16        3.741618    3.688429    0.603309  00:53                                                                                                        
17        3.753119    3.682791    0.604582  00:53                                                                                                        
18        3.748843    3.685561    0.606279  00:53                                                                                                        
19        3.733141    3.684058    0.607128  00:53                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         3.739999    3.683037    0.616462  00:53                                                                                                       
1         3.746636    3.679781    0.620280  00:53                                                                                                       
2         3.739786    3.674434    0.628765  00:53                                                                                                       
3         3.739298    3.682456    0.617310  00:53                                                                                                       
4         3.749278    3.686323    0.607552  00:53                                                                                                       
5         3.762845    3.708076    0.601612  00:53                                                                                                       
6         3.771398    3.709240    0.598642  00:53                                                                                                       
7         3.785451    3.709325    0.599067  00:53                                                                                                       
8         3.783823    3.709544    0.604158  00:53                                                                                                       
9         3.784010    3.706178    0.613067  00:53                                                                                                        
10        3.779237    3.702110    0.592703  00:53                                                                                                        
11        3.772706    3.696038    0.604582  00:53                                                                                                        
12        3.763597    3.695600    0.630462  00:53                                                                                                        
13        3.769518    3.696832    0.612643  00:53                                                                                                        
14        3.764695    3.695113    0.636402  00:53                                                                                                        
15        3.752707    3.691870    0.629614  00:53                                                                                                        
16        3.751185    3.692534    0.634281  00:53                                                                                                        
17        3.754448    3.685433    0.640645  00:53                                                                                                        
18        3.740847    3.682261    0.642342  00:53                                                                                                        
19        3.741454    3.679245    0.643615  00:53                                                                                                        
20        3.738315    3.678313    0.645312  00:53                                                                                                        
21        3.718520    3.676039    0.654646  00:53                                                                                                        
22        3.727015    3.674052    0.658040  00:53                                                                                                        
23        3.731042    3.668494    0.664404  00:53                                                                                                        
24        3.715529    3.664051    0.666950  00:53                                                                                                        
25        3.723874    3.666007    0.664828  00:53                                                                                                        
26        3.721799    3.663049    0.666950  00:53                                                                                                        
27        3.716432    3.663911    0.666525  00:53                                                                                                        
28        3.712844    3.662398    0.669071  00:53                                                                                                        
29        3.711773    3.665043    0.669919  00:53                                                                                                        
--------------------------
CUB_200_2011, arcface1
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         5.564777    5.310538    0.027577  00:53                                                                                                       
1         5.116029    4.799446    0.166737  00:53                                                                                                       
2         4.815453    4.670767    0.243106  00:53                                                                                                       
3         4.608385    4.367439    0.225286  00:53                                                                                                       
4         4.235216    3.963192    0.298685  00:53                                                                                                       
5         4.042631    3.883079    0.376326  00:53                                                                                                       
6         3.974663    3.836056    0.417480  00:53                                                                                                       
7         3.907387    3.789763    0.435723  00:53                                                                                                       
8         3.896085    3.775848    0.483666  00:53                                                                                                       
9         3.857332    3.754267    0.506576  00:53                                                                                                        
