CUB_200_2011, arcface20
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         5.790232    5.500378    0.026305  00:54                                                                                                       
1         5.308599    4.993321    0.171829  00:52                                                                                                       
2         5.001379    4.857278    0.231650  00:53                                                                                                       
3         4.799706    4.577172    0.194315  00:53                                                                                                       
4         4.422493    4.148664    0.318625  00:53                                                                                                       
5         4.222133    4.053153    0.398812  00:53                                                                                                       
6         4.140559    4.018131    0.420450  00:53                                                                                                       
7         4.120377    3.995020    0.424692  00:54                                                                                                       
8         4.078026    3.965863    0.482393  00:53                                                                                                       
9         4.055236    3.958980    0.495545  00:53                                                                                                        
10        4.028000    3.943239    0.523971  00:54                                                                                                        
11        4.011318    3.923454    0.549851  00:53                                                                                                        
12        4.002868    3.909678    0.561731  00:53                                                                                                        
13        3.982425    3.897627    0.579975  00:53                                                                                                        
14        3.960668    3.893808    0.593127  00:53                                                                                                        
15        3.948265    3.883313    0.599491  00:53                                                                                                        
16        3.945115    3.877235    0.610946  00:53                                                                                                        
17        3.941542    3.875992    0.620280  00:53                                                                                                        
18        3.930084    3.876487    0.616037  00:53                                                                                                        
19        3.939927    3.874113    0.616037  00:53                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         3.933440    3.873576    0.617734  00:53                                                                                                       
1         3.931714    3.872807    0.626644  00:53                                                                                                       
2         3.937163    3.876909    0.624523  00:53                                                                                                       
3         3.930189    3.884931    0.613916  00:53                                                                                                       
4         3.939079    3.889744    0.606703  00:53                                                                                                       
5         3.956881    3.889152    0.606703  00:53                                                                                                       
6         3.963426    3.908760    0.612219  00:53                                                                                                       
7         3.969946    3.903056    0.610522  00:53                                                                                                       
8         3.964169    3.906230    0.594400  00:53                                                                                                       
9         3.959046    3.893307    0.602036  00:53                                                                                                        
10        3.971163    3.890058    0.597370  00:53                                                                                                        
11        3.962242    3.891169    0.608401  00:53                                                                                                        
12        3.956328    3.890795    0.616037  00:53                                                                                                        
13        3.956983    3.891546    0.609249  00:53                                                                                                        
14        3.955022    3.890746    0.612219  00:53                                                                                                        
15        3.950930    3.882193    0.643191  00:53                                                                                                        
16        3.938358    3.870458    0.641918  00:53                                                                                                        
17        3.935537    3.870312    0.647009  00:53                                                                                                        
18        3.936637    3.874521    0.645736  00:53                                                                                                        
19        3.931178    3.873184    0.650827  00:53                                                                                                        
20        3.920493    3.865073    0.653797  00:53                                                                                                        
21        3.925722    3.866781    0.656767  00:53                                                                                                        
22        3.921976    3.864026    0.659737  00:53                                                                                                        
23        3.925194    3.857719    0.661010  00:53                                                                                                        
24        3.921538    3.859307    0.663980  00:53                                                                                                        
25        3.916451    3.850721    0.667798  00:53                                                                                                        
26        3.904298    3.852147    0.665677  00:53                                                                                                        
27        3.903841    3.853452    0.664828  00:53                                                                                                        
28        3.905036    3.855260    0.666525  00:53                                                                                                        
29        3.909038    3.857579    0.665677  00:53                                                                                                        
--------------------------
CUB_200_2011, arcface21
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         5.758238    5.516295    0.024183  00:53                                                                                                       
1         5.323059    5.022143    0.165465  00:53                                                                                                       
2         5.015001    4.870299    0.248621  00:53                                                                                                       
3         4.825795    4.588789    0.257955  00:53                                                                                                       
4         4.435129    4.182321    0.286805  00:53                                                                                                       
5         4.241764    4.071394    0.385660  00:53                                                                                                       
6         4.145231    4.020046    0.421298  00:53                                                                                                       
7         4.102312    3.977560    0.470089  00:53                                                                                                       
