MNIST, CrossEntropyLossFlat0
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.767225    0.430717    0.866000  00:35                                                                                                       
1         0.245439    0.135118    0.957300  00:35                                                                                                       
2         0.143284    0.074382    0.977300  01:48                                                                                                       
3         0.112006    0.061153    0.981700  00:35                                                                                                       
4         0.092342    0.048892    0.984200  00:36                                                                                                       
5         0.082246    0.047505    0.986100  00:36                                                                                                       
6         0.072095    0.042327    0.987300  00:36                                                                                                       
7         0.059081    0.036043    0.988800  00:35                                                                                                       
8         0.047867    0.034625    0.989300  00:34                                                                                                       
9         0.043715    0.035502    0.989600  00:34                                                                                                        
10        0.032508    0.033802    0.990400  00:35                                                                                                        
11        0.033348    0.033634    0.989300  00:34                                                                                                        
12        0.034157    0.031155    0.990500  00:35                                                                                                        
13        0.027899    0.029211    0.991400  00:35                                                                                                        
14        0.023410    0.030697    0.991700  00:35                                                                                                        
15        0.020430    0.028868    0.991800  00:36                                                                                                        
16        0.014231    0.030496    0.992500  00:36                                                                                                        
17        0.012282    0.030462    0.991800  00:36                                                                                                        
18        0.016527    0.029919    0.992000  00:36                                                                                                        
19        0.013586    0.030240    0.992300  00:36                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.012553    0.029382    0.992300  00:35                                                                                                       
1         0.020328    0.031236    0.992000  00:35                                                                                                       
2         0.012531    0.034399    0.990400  00:34                                                                                                       
3         0.017072    0.033047    0.992100  00:35                                                                                                       
4         0.015467    0.032083    0.991200  00:35                                                                                                       
5         0.022495    0.031332    0.991700  00:34                                                                                                       
6         0.015610    0.031556    0.990800  00:34                                                                                                       
7         0.021596    0.033122    0.990700  00:34                                                                                                       
8         0.020384    0.036341    0.990800  00:34                                                                                                       
9         0.020494    0.037804    0.990300  00:34                                                                                                        
10        0.023164    0.031753    0.991300  00:34                                                                                                        
11        0.022192    0.034645    0.990400  00:35                                                                                                        
12        0.018007    0.033316    0.990800  00:33                                                                                                        
13        0.021282    0.032896    0.992200  00:33                                                                                                        
14        0.014220    0.030028    0.992700  00:33                                                                                                        
15        0.014926    0.033637    0.990700  00:34                                                                                                        
16        0.011290    0.029575    0.992700  00:33                                                                                                        
17        0.013811    0.032054    0.992400  00:34                                                                                                        
18        0.013828    0.031175    0.992700  00:34                                                                                                        
19        0.009792    0.032245    0.991800  00:33                                                                                                        
20        0.010402    0.032265    0.991900  00:34                                                                                                        
21        0.009171    0.034879    0.992100  00:34                                                                                                        
22        0.010042    0.033024    0.992700  00:34                                                                                                        
23        0.006480    0.033823    0.992200  00:34                                                                                                        
24        0.005512    0.033707    0.991800  00:34                                                                                                        
25        0.008184    0.033706    0.992300  00:33                                                                                                        
26        0.006847    0.034089    0.992100  00:34                                                                                                        
27        0.009010    0.033085    0.992200  00:34                                                                                                        
28        0.003765    0.034720    0.992200  00:34                                                                                                        
29        0.006093    0.035029    0.992400  00:34                                                                                                        
--------------------------
MNIST, CrossEntropyLossFlat1
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.753624    0.459537    0.855900  00:33                                                                                                       
1         0.257923    0.130878    0.956600  00:32                                                                                                       
2         0.128712    0.081970    0.974900  00:33                                                                                                       
3         0.108029    0.066795    0.981000  00:33                                                                                                       
4         0.092746    0.051528    0.984600  00:33                                                                                                       
5         0.069438    0.042368    0.987500  00:34                                                                                                       
6         0.064541    0.038758    0.988300  00:33                                                                                                       
