MNIST, arcface 0
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         1.631680    1.465171    0.756800  00:37                                                                                                       
1         1.060683    0.972955    0.921400  00:36                                                                                                       
2         0.946230    0.899132    0.963700  00:37                                                                                                       
3         0.918036    0.882274    0.975300  00:36                                                                                                       
4         0.909571    0.875215    0.979700  00:37                                                                                                       
5         0.906786    0.876663    0.978100  00:37                                                                                                       
6         0.898063    0.871120    0.981600  00:36                                                                                                       
7         0.894964    0.868193    0.984400  00:35                                                                                                       
8         0.881710    0.860543    0.986900  00:36                                                                                                       
9         0.880971    0.864028    0.986800  00:36                                                                                                        
10        0.882845    0.861724    0.986900  00:36                                                                                                        
11        0.879743    0.860771    0.988300  00:36                                                                                                        
12        0.874463    0.860102    0.987300  00:36                                                                                                        
13        0.874085    0.856199    0.990200  00:36                                                                                                        
14        0.870433    0.856388    0.989200  00:36                                                                                                        
15        0.870553    0.856975    0.990200  00:36                                                                                                        
16        0.866261    0.855277    0.989900  00:36                                                                                                        
17        0.865107    0.855141    0.990300  00:38                                                                                                        
18        0.863728    0.854561    0.990800  00:37                                                                                                        
19        0.868186    0.855590    0.990400  00:37                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.869865    0.854459    0.991000  00:36                                                                                                       
1         0.867899    0.855893    0.990400  00:38                                                                                                       
2         0.867122    0.855598    0.990500  00:36                                                                                                       
3         0.867904    0.857310    0.989800  00:36                                                                                                       
4         0.870399    0.857303    0.990100  00:37                                                                                                       
5         0.874662    0.859035    0.988400  00:37                                                                                                       
6         0.871622    0.858366    0.989200  00:37                                                                                                       
7         0.870124    0.857262    0.990400  00:37                                                                                                       
8         0.873345    0.857421    0.989700  00:36                                                                                                       
9         0.866281    0.858191    0.989100  00:37                                                                                                        
10        0.869642    0.858286    0.988100  00:37                                                                                                        
11        0.867004    0.856837    0.988300  00:37                                                                                                        
12        0.868896    0.857398    0.990300  00:37                                                                                                        
13        0.870715    0.856678    0.990600  00:36                                                                                                        
14        0.862280    0.857506    0.989800  00:36                                                                                                        
