MNIST, arcface20
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         1.810829    1.660937    0.734700  00:35                                                                                                       
1         1.216501    1.118343    0.913800  00:35                                                                                                       
2         1.064119    1.029057    0.961000  00:34                                                                                                       
3         1.039435    1.005043    0.973600  00:34                                                                                                       
4         1.028972    1.000236    0.977200  00:35                                                                                                       
5         1.027985    0.992699    0.980400  00:35                                                                                                       
6         1.023090    0.996496    0.977600  00:35                                                                                                       
7         1.008711    0.988969    0.982500  00:35                                                                                                       
8         1.011176    0.991346    0.980900  00:34                                                                                                       
9         1.001880    0.989871    0.982900  00:35                                                                                                        
10        1.002597    0.984065    0.984400  00:34                                                                                                        
11        0.991598    0.981247    0.987400  00:34                                                                                                        
12        0.994882    0.980225    0.987000  00:35                                                                                                        
13        0.994237    0.980525    0.987300  00:36                                                                                                        
14        0.989009    0.978613    0.988000  00:35                                                                                                        
15        0.990506    0.977817    0.988600  00:36                                                                                                        
16        0.987710    0.976896    0.989600  00:39                                                                                                        
17        0.988572    0.977295    0.989500  00:34                                                                                                        
18        0.985318    0.976003    0.989700  00:34                                                                                                        
19        0.981012    0.976862    0.989300  00:35                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.990532    0.976790    0.990100  00:34                                                                                                       
1         0.987396    0.976244    0.990000  00:35                                                                                                       
2         0.985839    0.976778    0.989500  00:35                                                                                                       
3         0.984771    0.976051    0.989000  00:35                                                                                                       
4         0.988193    0.977461    0.989100  00:34                                                                                                       
5         0.992929    0.979673    0.988400  00:35                                                                                                       
6         0.990171    0.978591    0.988000  00:35                                                                                                       
7         0.985267    0.979172    0.988300  00:34                                                                                                       
8         0.987318    0.979200    0.987700  00:34                                                                                                       
9         0.988620    0.980342    0.988100  00:34                                                                                                        
10        0.992722    0.978610    0.987300  00:35                                                                                                        
11        0.986857    0.978132    0.989400  00:34                                                                                                        
12        0.987808    0.977076    0.989700  00:35                                                                                                        
13        0.987383    0.976615    0.990100  00:34                                                                                                        
14        0.984817    0.975671    0.990200  00:34                                                                                                        
15        0.981161    0.975296    0.990100  00:34                                                                                                        
16        0.983582    0.974629    0.991300  00:35                                                                                                        
17        0.982344    0.974826    0.991100  00:34                                                                                                        
18        0.980921    0.975036    0.991100  00:34                                                                                                        
19        0.982059    0.974960    0.990200  00:34                                                                                                        
20        0.979895    0.974953    0.990700  00:35                                                                                                        
21        0.978465    0.973951    0.991200  00:35                                                                                                        
22        0.981342    0.973966    0.990600  00:35                                                                                                        
23        0.980908    0.972989    0.992100  00:34                                                                                                        
24        0.980168    0.973046    0.992100  00:33                                                                                                        
25        0.977859    0.974077    0.991400  00:35                                                                                                        
26        0.976948    0.973410    0.991500  00:34                                                                                                        
27        0.975249    0.973150    0.991200  00:35                                                                                                        
28        0.975914    0.972492    0.992100  00:34                                                                                                        
29        0.977146    0.974099    0.991300  00:34                                                                                                        
--------------------------
MNIST, arcface21
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         1.789118    1.632303    0.750700  00:35                                                                                                       
1         1.189357    1.105173    0.923400  00:35                                                                                                       
2         1.066630    1.020917    0.965900  00:36                                                                                                       
3         1.048190    1.009087    0.973000  00:35                                                                                                       
4         1.030363    0.996461    0.978500  00:35                                                                                                       
5         1.026667    0.995922    0.978300  00:34                                                                                                       
6         1.016541    0.991993    0.981200  00:34                                                                                                       
7         1.018314    0.992161    0.980100  00:35                                                                                                       
8         1.008342    0.989974    0.981600  00:35                                                                                                       
9         1.005888    0.986084    0.984300  00:34                                                                                                        
10        0.997101    0.983872    0.985900  00:35                                                                                                        
11        0.998282    0.982157    0.986500  00:35                                                                                                        
12        0.992237    0.981310    0.986900  00:35                                                                                                        
13        0.994980    0.980746    0.986900  00:35                                                                                                        
14        0.989840    0.978730    0.988200  00:34                                                                                                        
15        0.982729    0.977433    0.988900  00:34                                                                                                        
16        0.984324    0.978127    0.988900  00:35                                                                                                        
17        0.982929    0.977298    0.989300  00:35                                                                                                        
18        0.985224    0.978079    0.988300  00:34                                                                                                        
19        0.986755    0.977882    0.988600  00:34                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.985854    0.978427    0.988400  00:34                                                                                                       
1         0.984500    0.977399    0.989500  00:34                                                                                                       
2         0.986188    0.976817    0.989700  00:34                                                                                                       
3         0.985584    0.976786    0.989500  00:35                                                                                                       
4         0.988010    0.979038    0.988800  00:35                                                                                                       
5         0.987643    0.979356    0.988100  00:33                                                                                                       
6         0.995387    0.983198    0.986400  00:34                                                                                                       
7         0.988420    0.978489    0.989000  00:34                                                                                                       
8         0.992631    0.980565    0.987800  00:34                                                                                                       
9         0.985025    0.978009    0.989200  00:35                                                                                                        
10        0.986211    0.977076    0.989700  00:34                                                                                                        
11        0.989810    0.979987    0.988200  00:35                                                                                                        
12        0.989529    0.976887    0.989700  00:34                                                                                                        
13        0.988983    0.974393    0.990800  00:35                                                                                                        
14        0.982795    0.977291    0.988900  00:35                                                                                                        
15        0.984653    0.974921    0.990000  00:35                                                                                                        
16        0.981143    0.976520    0.989800  00:35                                                                                                        
17        0.982797    0.975328    0.990600  00:34                                                                                                        
18        0.981461    0.973973    0.991400  00:34                                                                                                        
19        0.983523    0.974252    0.990800  00:35                                                                                                        
20        0.981538    0.974138    0.990600  00:35                                                                                                        
21        0.978076    0.973170    0.991200  00:35                                                                                                        
22        0.978182    0.974165    0.991200  00:35                                                                                                        
23        0.979900    0.972907    0.991900  00:35                                                                                                        
24        0.977081    0.973047    0.991700  00:35                                                                                                        
25        0.976887    0.974043    0.991500  00:35                                                                                                        
26        0.979827    0.972996    0.992100  00:34                                                                                                        
27        0.979159    0.973150    0.991700  00:34                                                                                                        
28        0.980152    0.972788    0.992200  00:34                                                                                                        
29        0.982066    0.972850    0.991600  00:35                                                                                                        
--------------------------
MNIST, arcface22
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         1.792963    1.635587    0.743600  00:35                                                                                                       
1         1.185737    1.109799    0.917400  00:34                                                                                                       
2         1.063142    1.015745    0.967100  00:35                                                                                                       
3         1.034857    0.998830    0.976300  00:35                                                                                                       
4         1.033962    1.008546    0.974600  00:35                                                                                                       
5         1.012758    0.996196    0.976500  00:35                                                                                                       
6         1.018361    0.994659    0.979200  00:35                                                                                                       
7         1.010228    0.987837    0.983300  00:34                                                                                                       
8         1.007341    0.990833    0.982700  00:35                                                                                                       
9         0.999318    0.982248    0.987200  00:36                                                                                                        
10        1.005725    0.984695    0.985700  00:36                                                                                                        
11        0.999754    0.982015    0.986600  00:34                                                                                                        
12        0.993810    0.979645    0.988600  00:35                                                                                                        
13        0.994451    0.978708    0.988100  00:35                                                                                                        
14        0.986866    0.978023    0.989400  00:35                                                                                                        
15        0.987078    0.977162    0.989400  00:34                                                                                                        
16        0.988448    0.976260    0.990300  00:35                                                                                                        
17        0.983132    0.976318    0.989900  00:35                                                                                                        
18        0.986700    0.975065    0.990900  00:38                                                                                                        
19        0.986543    0.977180    0.990300  00:37                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.986969    0.974921    0.990300  00:38                                                                                                       
1         0.983880    0.974723    0.991400  00:37                                                                                                       
2         0.983306    0.975781    0.991100  00:38                                                                                                       
3         0.988219    0.975787    0.990600  00:37                                                                                                       
4         0.988566    0.976488    0.990300  00:37                                                                                                       
5         0.989049    0.975258    0.990800  00:38                                                                                                       
6         0.986195    0.975469    0.989900  00:37                                                                                                       
7         0.989063    0.976297    0.990500  00:37                                                                                                       
8         0.986807    0.976284    0.989700  00:37                                                                                                       
9         0.988124    0.976427    0.990200  00:37                                                                                                        
10        0.985037    0.978319    0.989000  00:37                                                                                                        
11        0.986924    0.977463    0.989700  00:37                                                                                                        
12        0.989191    0.977374    0.989000  00:36                                                                                                        
13        0.985911    0.977404    0.989000  00:37                                                                                                        
14        0.983219    0.977697    0.990000  00:37                                                                                                        
15        0.986753    0.978250    0.988600  00:38                                                                                                        
16        0.978872    0.976853    0.989500  00:38                                                                                                        
17        0.983146    0.974407    0.990100  00:37                                                                                                        
18        0.979551    0.975132    0.991200  00:43                                                                                                        
19        0.981196    0.976170    0.990000  00:40                                                                                                        
20        0.979335    0.974584    0.991700  00:37                                                                                                        
21        0.981385    0.974298    0.991300  01:15                                                                                                        
