cifar10, CrossEntropyLossFlat
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         2.059624    1.571725    0.466400  00:29                                                                                                       
1         1.412257    1.193056    0.578600  00:28                                                                                                       
2         1.066256    0.957159    0.660400  00:29                                                                                                       
3         0.961137    0.847150    0.699900  00:28                                                                                                       
4         0.883624    0.795331    0.723300  00:28                                                                                                       
5         0.794396    0.752379    0.738300  00:28                                                                                                       
6         0.786968    0.731163    0.739600  00:28                                                                                                       
7         0.748547    0.708870    0.749900  00:29                                                                                                       
8         0.696513    0.700143    0.754200  00:28                                                                                                       
9         0.702484    0.681317    0.761900  00:28                                                                                                        
10        0.668051    0.672899    0.764700  00:28                                                                                                        
11        0.648186    0.663756    0.767400  00:28                                                                                                        
12        0.631485    0.658978    0.768300  00:29                                                                                                        
13        0.624568    0.655422    0.773400  00:29                                                                                                        
14        0.599569    0.648074    0.774300  00:29                                                                                                        
15        0.578580    0.648858    0.773700  00:28                                                                                                        
16        0.558574    0.649573    0.775200  00:28                                                                                                        
17        0.570345    0.646417    0.776800  00:29                                                                                                        
18        0.550405    0.645001    0.775100  00:28                                                                                                        
19        0.551558    0.648463    0.774100  00:29                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.547431    0.645985    0.775200  00:29                                                                                                       
1         0.565656    0.647610    0.775300  00:29                                                                                                       
2         0.544948    0.649676    0.774100  00:29                                                                                                       
3         0.568515    0.650781    0.776300  00:29                                                                                                       
4         0.585290    0.651182    0.777100  00:28                                                                                                       
5         0.586791    0.658003    0.772300  00:28                                                                                                       
6         0.614713    0.658146    0.773000  00:28                                                                                                       
7         0.600375    0.651809    0.774400  00:29                                                                                                       
8         0.597332    0.652858    0.774800  00:29                                                                                                       
9         0.577497    0.654344    0.777800  00:28                                                                                                        
10        0.568038    0.652663    0.780000  00:28                                                                                                        
11        0.554993    0.648492    0.783600  00:29                                                                                                        
12        0.552332    0.648989    0.776400  00:29                                                                                                        
13        0.553083    0.653081    0.775700  00:28                                                                                                        
14        0.559525    0.652373    0.780300  00:29                                                                                                        
15        0.536816    0.649234    0.778500  00:28                                                                                                        
16        0.547760    0.649317    0.780500  00:29                                                                                                        
17        0.524822    0.647579    0.783200  00:28                                                                                                        
18        0.520279    0.647140    0.782600  00:28                                                                                                        
19        0.502929    0.652830    0.783400  00:29                                                                                                        
20        0.504607    0.649957    0.782100  00:29                                                                                                        
21        0.471032    0.652534    0.783300  00:28                                                                                                        
22        0.494139    0.648395    0.785500  00:29                                                                                                        
23        0.487083    0.650459    0.784400  00:29                                                                                                        
24        0.455342    0.651921    0.783900  00:29                                                                                                        
25        0.489986    0.653332    0.782600  00:29                                                                                                        
26        0.490084    0.651914    0.783200  00:28                                                                                                        
27        0.468777    0.649165    0.787100  00:29                                                                                                        
28        0.475092    0.652089    0.784200  00:29                                                                                                        
29        0.464758    0.650547    0.783700  00:29                                                                                                        
cifar10; training: 0
cifar10, CrossEntropyLossFlat
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         2.030749    1.569779    0.465100  00:26                                                                                                       
1         1.378320    1.174591    0.585300  00:26                                                                                                       
2         1.044722    0.942330    0.668500  00:26                                                                                                       
3         0.945366    0.852791    0.703100  00:26                                                                                                       
4         0.903213    0.810791    0.715000  00:25                                                                                                       
5         0.837290    0.755972    0.744200  00:26                                                                                                       
6         0.788802    0.750246    0.738000  00:27                                                                                                       
7         0.749104    0.710721    0.750900  00:26                                                                                                       
8         0.709333    0.703930    0.753500  00:26                                                                                                       
9         0.674517    0.693659    0.756900  00:26                                                                                                        
10        0.687863    0.687355    0.759000  00:26                                                                                                        
11        0.640262    0.666215    0.768600  00:25                                                                                                        
12        0.628810    0.660442    0.771800  00:25                                                                                                        
13        0.614828    0.664040    0.771100  00:26                                                                                                        
14        0.618118    0.657728    0.771900  00:26                                                                                                        
15        0.578282    0.655456    0.772200  00:26                                                                                                        
16        0.565219    0.650229    0.773800  00:26                                                                                                        
17        0.579374    0.651378    0.775700  00:26                                                                                                        
18        0.553364    0.654532    0.774600  00:26                                                                                                        
19        0.557057    0.654372    0.775800  00:26                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.558653    0.652846    0.774600  00:25                                                                                                       
1         0.562654    0.654431    0.775500  00:25                                                                                                       
2         0.560572    0.652897    0.774400  00:26                                                                                                       
3         0.568895    0.658982    0.772700  00:26                                                                                                       
4         0.588222    0.659866    0.771700  00:26                                                                                                       
5         0.595354    0.662661    0.769200  00:26                                                                                                       
6         0.594671    0.661368    0.770600  00:25                                                                                                       
7         0.574866    0.664278    0.769000  00:26                                                                                                       
8         0.603809    0.654894    0.771700  00:26                                                                                                       
9         0.553448    0.667614    0.767800  00:25                                                                                                        
10        0.576283    0.667506    0.770400  00:26                                                                                                        
11        0.570750    0.660434    0.771800  00:25                                                                                                        
12        0.553027    0.654040    0.775900  00:25                                                                                                        
13        0.570898    0.661536    0.770600  00:26                                                                                                        
14        0.550378    0.662580    0.773600  00:26                                                                                                        
15        0.556436    0.657552    0.775700  00:26                                                                                                        
16        0.533631    0.656993    0.776500  00:25                                                                                                        
17        0.518622    0.650585    0.779600  00:26                                                                                                        
18        0.517641    0.652210    0.780200  00:26                                                                                                        
19        0.508210    0.653877    0.775700  00:26                                                                                                        
20        0.476970    0.659355    0.776400  00:25                                                                                                        
21        0.501822    0.655660    0.777800  00:26                                                                                                        
22        0.490334    0.655884    0.779000  00:26                                                                                                        
23        0.480145    0.654967    0.778000  00:26                                                                                                        
24        0.478428    0.659777    0.778600  00:26                                                                                                        
25        0.470460    0.659402    0.777700  00:25                                                                                                        
26        0.463393    0.657035    0.780400  00:26                                                                                                        
27        0.476937    0.654677    0.779600  00:26                                                                                                        
28        0.455841    0.656699    0.777200  00:27                                                                                                        
29        0.482245    0.659651    0.778800  00:26                                                                                                        
cifar10; training: 1
cifar10, CrossEntropyLossFlat
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         2.065628    1.569422    0.467800  00:25                                                                                                       
1         1.390150    1.159203    0.587400  00:25                                                                                                       
2         1.052743    0.941597    0.665600  00:26                                                                                                       
3         0.955187    0.853164    0.703700  00:26                                                                                                       
4         0.889324    0.797922    0.725500  00:26                                                                                                       
5         0.796191    0.752403    0.737300  00:26                                                                                                       
6         0.767015    0.734355    0.745900  00:26                                                                                                       
7         0.743297    0.703083    0.751100  00:26                                                                                                       
8         0.705978    0.701219    0.755700  00:26                                                                                                       
9         0.687360    0.680421    0.759200  00:26                                                                                                        
10        0.676442    0.678921    0.762000  00:26                                                                                                        
11        0.669872    0.660388    0.769300  00:25                                                                                                        
12        0.619829    0.661301    0.769700  00:26                                                                                                        
13        0.631222    0.657595    0.774600  00:26                                                                                                        
14        0.594582    0.658309    0.773100  00:26                                                                                                        
15        0.575443    0.651604    0.776300  00:26                                                                                                        
16        0.556650    0.650058    0.774900  00:26                                                                                                        
17        0.565859    0.648264    0.777800  00:25                                                                                                        
18        0.557441    0.647872    0.778500  00:27                                                                                                        
19        0.551243    0.647023    0.778400  00:26                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         0.552640    0.647712    0.779000  00:27                                                                                                       
1         0.569482    0.648829    0.779700  00:26                                                                                                       
2         0.564892    0.655401    0.775800  00:27                                                                                                       
3         0.594320    0.653301    0.776500  00:27                                                                                                       
4         0.576485    0.659701    0.772800  00:27                                                                                                       
5         0.567614    0.653300    0.776400  00:26                                                                                                       
6         0.578156    0.653477    0.775600  00:26                                                                                                       
7         0.577207    0.656434    0.774000  00:26                                                                                                       
8         0.601534    0.659025    0.773400  00:27                                                                                                       
9         0.556274    0.652620    0.776500  00:26                                                                                                        
10        0.545609    0.653407    0.776200  00:25                                                                                                        
11        0.554704    0.650877    0.773200  00:26                                                                                                        
12        0.568983    0.653122    0.773900  00:27                                                                                                        
13        0.558149    0.651911    0.773100  00:26                                                                                                        
14        0.542991    0.650583    0.778300  00:26                                                                                                        
15        0.513768    0.648951    0.778800  00:26                                                                                                        
16        0.530648    0.647497    0.780700  00:26                                                                                                        
17        0.530386    0.651096    0.779800  00:26                                                                                                        
18        0.507089    0.649130    0.781300  00:26                                                                                                        
19        0.509720    0.647639    0.783600  00:26                                                                                                        
20        0.504647    0.648169    0.782700  00:25                                                                                                        
21        0.498053    0.650084    0.783000  00:26                                                                                                        
22        0.489997    0.649802    0.781400  00:26                                                                                                        
23        0.501788    0.649610    0.782200  00:26                                                                                                        
24        0.467027    0.648509    0.783300  00:25                                                                                                        
25        0.459876    0.648785    0.782500  00:26                                                                                                        
26        0.475648    0.649034    0.782700  00:26                                                                                                        
27        0.456852    0.650708    0.780000  00:25                                                                                                        
28        0.461135    0.654155    0.781800  00:26                                                                                                        
29        0.445141    0.649650    0.783200  00:26                                                                                                        
cifar10; training: 2
