cifar10, arcface
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         2.026485    1.920835    0.409800  00:31                                                                                                       
1         1.764336    1.696747    0.488600  00:31                                                                                                       
2         1.596131    1.537086    0.559700  00:30                                                                                                       
3         1.522955    1.504008    0.586400  00:32                                                                                                       
4         1.468959    1.431600    0.632900  00:32                                                                                                       
5         1.456074    1.429047    0.634600  00:31                                                                                                       
6         1.422908    1.384888    0.665700  00:31                                                                                                       
7         1.398340    1.368087    0.668700  00:31                                                                                                       
8         1.398247    1.368300    0.663100  00:31                                                                                                       
9         1.391758    1.351319    0.685400  00:32                                                                                                        
10        1.376000    1.355960    0.681300  00:30                                                                                                        
11        1.356721    1.327717    0.698100  00:32                                                                                                        
12        1.333841    1.316671    0.697000  00:31                                                                                                        
13        1.331044    1.313291    0.705800  00:31                                                                                                        
14        1.330208    1.306994    0.702900  00:32                                                                                                        
15        1.321573    1.307495    0.708900  00:31                                                                                                        
16        1.300900    1.299227    0.713900  00:32                                                                                                        
17        1.307331    1.294227    0.712600  00:30                                                                                                        
18        1.299417    1.293375    0.716300  00:30                                                                                                        
19        1.305916    1.291773    0.715700  00:32                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         1.298425    1.289629    0.714600  00:29                                                                                                       
1         1.297140    1.291494    0.715400  00:30                                                                                                       
2         1.294348    1.289509    0.717800  00:29                                                                                                       
3         1.293459    1.287824    0.715400  00:29                                                                                                       
4         1.309314    1.288322    0.719900  00:30                                                                                                       
5         1.317020    1.297979    0.713000  00:30                                                                                                       
6         1.315097    1.304834    0.710800  00:29                                                                                                       
7         1.304954    1.302919    0.716800  00:30                                                                                                       
8         1.320946    1.300746    0.710200  00:32                                                                                                       
9         1.325527    1.301246    0.710800  00:30                                                                                                        
10        1.314422    1.306362    0.712800  00:30                                                                                                        
11        1.314808    1.298854    0.716200  00:30                                                                                                        
12        1.320333    1.297141    0.709700  00:30                                                                                                        
13        1.295495    1.283883    0.723000  00:30                                                                                                        
14        1.299808    1.283781    0.720800  00:31                                                                                                        
15        1.294906    1.282838    0.724800  00:29                                                                                                        
16        1.290731    1.277959    0.726700  00:30                                                                                                        
17        1.276460    1.279799    0.726900  00:30                                                                                                        
18        1.280193    1.275586    0.728000  00:29                                                                                                        
19        1.274134    1.273734    0.730200  00:30                                                                                                        
20        1.288186    1.269450    0.728700  00:30                                                                                                        
21        1.263575    1.271039    0.731800  00:30                                                                                                        
22        1.283719    1.270617    0.730200  00:29                                                                                                        
23        1.282861    1.260617    0.733800  00:30                                                                                                        
24        1.278213    1.262422    0.730800  00:30                                                                                                        
25        1.257554    1.258184    0.734900  00:30                                                                                                        
26        1.257175    1.255810    0.734500  00:30                                                                                                        
27        1.258924    1.268096    0.728000  00:30                                                                                                        
28        1.247006    1.258117    0.732600  00:30                                                                                                        
