cifar10, arcface2
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         2.196203    2.081676    0.412800  00:31                                                                                                       
1         1.932780    1.877276    0.469900  00:30                                                                                                       
2         1.723733    1.685902    0.531700  00:31                                                                                                       
3         1.673433    1.641287    0.596100  00:31                                                                                                       
4         1.635563    1.577752    0.636800  00:31                                                                                                       
5         1.586064    1.561799    0.647900  00:31                                                                                                       
6         1.557621    1.531007    0.664700  00:30                                                                                                       
7         1.551582    1.513022    0.674000  00:31                                                                                                       
8         1.538919    1.497620    0.683100  00:31                                                                                                       
9         1.505945    1.493482    0.687600  00:32                                                                                                        
10        1.523843    1.479895    0.695800  00:31                                                                                                        
11        1.502570    1.462659    0.699900  00:31                                                                                                        
12        1.480726    1.461721    0.700300  00:30                                                                                                        
13        1.457678    1.453032    0.704300  00:31                                                                                                        
14        1.450758    1.444881    0.712500  00:30                                                                                                        
15        1.448803    1.432735    0.712200  00:31                                                                                                        
16        1.456001    1.427859    0.718200  00:31                                                                                                        
17        1.435817    1.427378    0.715700  00:30                                                                                                        
18        1.450493    1.424917    0.718500  00:30                                                                                                        
19        1.439923    1.425875    0.715300  00:31                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         1.450800    1.423115    0.718800  00:31                                                                                                       
1         1.441689    1.424338    0.718000  00:30                                                                                                       
2         1.431178    1.424598    0.717200  00:30                                                                                                       
3         1.448678    1.419735    0.720200  00:30                                                                                                       
4         1.445472    1.428899    0.717500  00:30                                                                                                       
5         1.448910    1.437864    0.715700  00:31                                                                                                       
6         1.458187    1.441447    0.714000  00:30                                                                                                       
7         1.448940    1.434596    0.712700  00:31                                                                                                       
8         1.466869    1.441102    0.714700  00:30                                                                                                       
9         1.448143    1.435459    0.715500  00:30                                                                                                        
10        1.453887    1.443060    0.708100  00:30                                                                                                        
11        1.459440    1.432984    0.715000  00:31                                                                                                        
12        1.457162    1.431608    0.717200  00:30                                                                                                        
13        1.444274    1.426081    0.718100  00:30                                                                                                        
14        1.443326    1.423436    0.723100  00:31                                                                                                        
15        1.425580    1.424451    0.720900  00:30                                                                                                        
16        1.424761    1.421654    0.725100  00:30                                                                                                        
17        1.422917    1.421438    0.728800  00:30                                                                                                        
18        1.403287    1.417019    0.727200  00:31                                                                                                        
19        1.414128    1.414814    0.729600  00:30                                                                                                        
20        1.418824    1.412039    0.730900  00:30                                                                                                        
21        1.416411    1.406583    0.730100  00:30                                                                                                        
22        1.402591    1.403859    0.730400  00:31                                                                                                        
23        1.406769    1.401829    0.732000  00:30                                                                                                        
24        1.388188    1.400135    0.733000  00:30                                                                                                        
25        1.394861    1.398031    0.734300  00:30                                                                                                        
26        1.400172    1.398782    0.735900  00:31                                                                                                        
27        1.408192    1.396836    0.736400  00:31                                                                                                        
28        1.414822    1.396841    0.734700  00:31                                                                                                        
29        1.406609    1.396698    0.735000  00:31                                                                                                        
cifar10; training: 0
cifar10, arcface2
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         2.203337    2.085270    0.412300  00:30                                                                                                       
1         1.923735    1.853514    0.476600  00:31                                                                                                       
2         1.754213    1.693153    0.553500  00:30                                                                                                       
3         1.662897    1.637737    0.595900  00:31                                                                                                       
4         1.623121    1.575853    0.628000  00:30                                                                                                       
5         1.590567    1.528188    0.653600  00:31                                                                                                       
6         1.565895    1.541189    0.656900  00:30                                                                                                       
7         1.541748    1.510722    0.673000  00:30                                                                                                       
8         1.508427    1.483236    0.680800  00:30                                                                                                       
9         1.513716    1.480534    0.682000  00:30                                                                                                        
10        1.512657    1.471152    0.692700  00:31                                                                                                        
11        1.491544    1.464303    0.696200  00:31                                                                                                        
12        1.466305    1.453482    0.703800  00:30                                                                                                        
13        1.462913    1.438914    0.704700  00:31                                                                                                        
14        1.471504    1.442307    0.711900  00:31                                                                                                        
15        1.458979    1.433828    0.711200  00:31                                                                                                        
16        1.434099    1.424887    0.714400  00:31                                                                                                        
17        1.442189    1.430315    0.713300  00:31                                                                                                        
18        1.450917    1.430854    0.710600  00:30                                                                                                        
19        1.449904    1.424806    0.717800  00:31                                                                                                        
ikinci epoch
epoch     train_loss  valid_loss  accuracy  time    
0         1.420105    1.422601    0.717500  00:31                                                                                                       
1         1.416550    1.423429    0.716900  00:31                                                                                                       
2         1.429117    1.422969    0.719400  00:31                                                                                                       
3         1.450410    1.422809    0.717300  00:31                                                                                                       
4         1.453048    1.428470    0.720200  00:31                                                                                                       
5         1.444806    1.430837    0.717200  00:31                                                                                                       
6         1.455411    1.438165    0.710700  00:31                                                                                                       
7         1.459312    1.434100    0.713000  00:32                                                                                                       
8         1.464262    1.438386    0.711700  00:31                                                                                                       
9         1.457609    1.425157    0.717300  00:31                                                                                                        
10        1.443557    1.425721    0.717800  00:30                                                                                                        
11        1.439671    1.419786    0.718400  00:31                                                                                                        
12        1.448814    1.427042    0.717900  00:30                                                                                                        
13        1.447826    1.424028    0.719400  00:30                                                                                                        
14        1.445893    1.426954    0.718400  00:31                                                                                                        
15        1.431872    1.422422    0.721400  00:31                                                                                                        
16        1.437569    1.413074    0.727300  00:31                                                                                                        
17        1.422339    1.405938    0.727100  00:30                                                                                                        
18        1.432274    1.404568    0.728100  00:30                                                                                                        
19        1.417390    1.398524    0.730400  00:31                                                                                                        
20        1.421527    1.404729    0.727000  00:30                                                                                                        
21        1.420201    1.399427    0.728800  00:31                                                                                                        
22        1.398913    1.400654    0.730900  00:30                                                                                                        
23        1.433537    1.397026    0.732800  00:31                                                                                                        
24        1.413271    1.395055    0.733000  00:30                                                                                                        
25        1.392664    1.392696    0.733900  00:31                                                                                                        
26        1.415080    1.394944    0.732500  00:30                                                                                                        
27        1.400429    1.391682    0.735400  00:30                                                                                                        
28        1.400448    1.391625    0.734300  00:30                                                                                                        
29        1.388214    1.391443    0.734800  00:30                                                                                                        
cifar10; training: 1
cifar10, arcface2
ilk epoch
epoch     train_loss  valid_loss  accuracy  time    
0         2.210859    2.099406    0.413900  00:31                                                                                                       
1         1.930714    1.852536    0.468600  00:31                                                                                                       
2         1.751962    1.686748    0.567600  00:31                                                                                                       
3         1.658236    1.615196    0.604500  00:31                                                                                                       
4         1.627292    1.591175    0.629500  00:31                                                                                                       
5         1.575860    1.545429    0.652900  00:30                                                                                                       
6         1.546571    1.529109    0.661400  00:31                                                                                                       
7         1.524547    1.498710    0.677800  00:31                                                                                                       
8         1.531955    1.513235    0.679000  00:31                                                                                                       
9         1.526163    1.487938    0.687000  00:31                                                                                                        
10        1.501156    1.481098    0.690700  00:30                                                                                                        
11        1.501946    1.471013    0.693600  00:31                                                                                                        
12        1.481511    1.460625    0.698500  00:30                                                                                                        
13        1.471024    1.450153    0.706100  00:32                                                                                                        
14        1.447986    1.437473    0.712800  00:31                                                                                                        
15        1.451924    1.431707    0.716600  00:31                                                                                                        
16        1.456702    1.427632    0.717600  00:31                                                                                                        
